province,0,cases,cumulative_cases,,,,date_report,Monthly cases,,,,,
,Canada,9/7/21,757,1426420,,,,,,,,,
,Canada,10/7/21,226,1426646,,,,,,,,,
,Canada,11/7/21,167,1426813,,,,,,,,,
,Canada,12/7/21,740,1427553,,,,,,,,,
,Canada,13-07-2021,304,1427857,,,,,,,,,
,Canada,14-07-2021,378,1428235,,,,,,,,,
,Canada,15-07-2021,416,1428651,,,,,,,,,
,Canada,16-07-2021,414,1429065,,,,,,,,,
,Canada,17-07-2021,317,1429382,,,,,,,,,
,Canada,18-07-2021,282,1429664,,,,,,,,,
,Canada,19-07-2021,648,1430312,,,,,,,,,
,Canada,20-07-2021,322,1430634,,,,,,,,,
,Canada,21-07-2021,528,1431162,,,,,,,,,
,Canada,22-07-2021,378,1431540,,,,,,,,,
,Canada,23-07-2021,590,1432130,,,,,,,,,
,Canada,24-07-2021,329,1432459,,,,,,,,,
,Canada,25-07-2021,265,1432724,,,,,,,,,
,Canada,26-07-2021,1075,1433799,,,,,,,,,
,Canada,27-07-2021,559,1434358,,,,,,,,,
,Canada,28-07-2021,796,1435154,,,,,,,,,
,Canada,29-07-2021,904,1436058,,,,,,,,,
,Canada,30-07-2021,935,1436993,,,,,,,,,
,Canada,31-07-2021,368,1437361,15548,,,,,,,,
,Canada,1/8/21,273,1437634,,,,,,,,,
,Canada,2/8/21,223,1437857,,,,,,,,,
,Canada,3/8/21,2366,1440223,,,,,,,,,
,Canada,4/8/21,985,1441208,,,,,,,,,
,Canada,5/8/21,1532,1442740,,,,,,,,,
,Canada,6/8/21,1574,1444314,,,,,,,,,
,Canada,7/8/21,555,1444869,,,,,,,,,
,Canada,8/8/21,583,1445452,,,,,,,,,
,Canada,9/8/21,3226,1448678,,,,,,,,,
,Canada,10/8/21,1338,1450016,,,,,,,,,
,Canada,11/8/21,1971,1451987,,,,,,,,,
,Canada,12/8/21,2126,1454113,,,,,,,,,
,Canada,13-08-2021,2464,1456577,,,,,,,,,
,Canada,14-08-2021,858,1457435,,,,,,,,,
,Canada,15-08-2021,706,1458141,,,,,,,,,
,Canada,16-08-2021,4438,1462579,,,,,,,,,
,Canada,17-08-2021,1876,1464455,,,,,,,,,
,Canada,18-08-2021,2522,1466977,,,,,,,,,
,Canada,19-08-2021,2871,1469848,,,,,,,,,
,Canada,20-08-2021,2972,1472820,,,,,,,,,
,Canada,21-08-2021,887,1473707,,,,,,,,,
,Canada,22-08-2021,833,1474540,,,,,,,,,
,Canada,23-08-2021,6036,1480576,,,,,,,,,
,Canada,24-08-2021,2387,1482963,,,,,,,,,
,Canada,25-08-2021,3152,1486115,,,,,,,,,
,Canada,26-08-2021,3508,1489623,,,,,,,,,
,Canada,27-08-2021,3797,1493420,,,,,,,,,
,Canada,28-08-2021,1269,1494689,,,,,,,,,
,Canada,29-08-2021,1017,1495706,,,,,,,,,
,Canada,30-08-2021,7418,1503124,,,,,,,,,
,Canada,31-08-2021,2926,1506050,68689,,,,,,,,
,Canada,1/9/21,4022,1510072,,,,,,,,,
,Canada,2/9/21,4000,1514072,,,,,,,,,
,Canada,3/9/21,4268,1518340,,,,,,,,,
,Canada,4/9/21,1428,1519768,,,,,,,,,
,Canada,5/9/21,1381,1521149,,,,,,,,,
,Canada,6/9/21,1070,1522219,,,,,,,,,
,Canada,7/9/21,10389,1532608,,,,,,,,,
,Canada,8/9/21,3728,1536336,,,,,,,,,
,Canada,9/9/21,4267,1540603,,,,,,,,,
,Canada,10/9/21,4645,1545248,,,,,,,,,
,Canada,11/9/21,1757,1547005,,,,,,,,,
,Canada,12/9/21,1413,1548418,,,,,,,,,
,Canada,13-09-2021,9682,1558100,,,,,,,,,
,Canada,14-09-2021,3998,1562098,,,,,,,,,
,Canada,15-09-2021,4475,1566573,,,,,,,,,
,Canada,16-09-2021,4666,1571239,,,,,,,,,
,Canada,17-09-2021,5094,1576333,,,,,,,,,
,Canada,18-09-2021,1725,1578058,,,,,,,,,
,Canada,19-09-2021,1673,1579731,,,,,,,,,
,Canada,20-09-2021,9192,1588923,,,,,,,,,
,Canada,21-09-2021,3742,1592665,,,,,,,,,
,Canada,22-09-2021,4077,1596742,,,,,,,,,
,Canada,23-09-2021,4605,1601347,,,,,,,,,
,Canada,24-09-2021,4571,1605918,,,,,,,,,
,Canada,25-09-2021,948,1606866,,,,,,,,,
,Canada,26-09-2021,875,1607741,,,,,,,,,
,Canada,27-09-2021,11692,1619433,,,,,,,,,
,Canada,28-09-2021,3467,1622900,,,,,,,,,
,Canada,29-09-2021,4328,1627228,,,,,,,,,
,Canada,30-09-2021,3471,1630699,124649,124649,,,,,,,
,Canada,1/10/21,5643,1636342,,,,,,,,,
,Canada,2/10/21,1486,1637828,,,,,,,,,
,Canada,3/10/21,1199,1639027,,,,,,,,,
,Canada,4/10/21,8799,1647826,,,,,,,,,
,Canada,5/10/21,2661,1650487,,,,,,,,,
,Canada,6/10/21,3841,1654328,,,,,,,,,
,Canada,7/10/21,4047,1658375,,,,,,,,,
,Canada,8/10/21,4213,1662588,,,,,,,,,
,Canada,9/10/21,1416,1664004,,,,,,,,,
,Canada,10/10/21,1358,1665362,,,,,,,,,
,Canada,11/10/21,1116,1666478,,,,,,,,,
,Canada,12/10/21,8184,1674662,,,,,,,,,
,Canada,13-10-2021,2701,1677363,,,,,,,,,
,Canada,14-10-2021,3216,1680579,,,,,,,,,
,Canada,15-10-2021,2761,1683340,,,,,,,,,
,Canada,16-10-2021,1995,1685335,,,,,,,,,
,Canada,17-10-2021,1043,1686378,,,,,,,,,
,Canada,18-10-2021,6094,1692472,,,,,,,,,
,Canada,19-10-2021,2179,1694651,,,,,,,,,
,Canada,20-10-2021,2758,1697409,,,,,,,,,
,Canada,21-10-2021,2888,1700297,,,,,,,,,
,Canada,22-10-2021,2609,1702906,,,,,,,,,
,Canada,23-10-2021,973,1703879,,,,,,,,,
,Canada,24-10-2021,809,1704688,,,,,,,,,
,Canada,25-10-2021,4940,1709628,,,,,,,,,
,Canada,26-10-2021,1816,1711444,,,,,,,,,
,Canada,27-10-2021,2563,1714007,,,,,,,,,
,Canada,28-10-2021,2660,1716667,,,,,,,,,
,Canada,29-10-2021,2567,1719234,,,,,,,,,
,Canada,30-10-2021,913,1720147,,,,,,,,,
,Canada,31-10-2021,887,1721034,90335,,,,,,,,
,Canada,1/11/21,4500,1725534,,,,,,,,,
,Canada,2/11/21,1920,1727454,,,,,,,,,
,Canada,3/11/21,2299,1729753,,,,,,,,,
,Canada,4/11/21,2636,1732389,,,,,,,,,
,Canada,5/11/21,2517,1734906,,,,,,,,,
,Canada,6/11/21,1050,1735956,,,,,,,,,
,Canada,7/11/21,905,1736861,,,,,,,,,
,Canada,8/11/21,5420,1742281,,,,,,,,,
,Canada,9/11/21,2330,1744611,,,,,,,,,
,Canada,10/11/21,2746,1747357,,,,,,,,,
,Canada,11/11/21,1185,1748542,,,,,,,,,
,Canada,12/11/21,4207,1752749,,,,,,,,,
,Canada,13-11-2021,1021,1753770,,,,,,,,,
,Canada,14-11-2021,977,1754747,,,,,,,,,
,Canada,15-11-2021,4986,1759733,,,,,,,,,
,Canada,16-11-2021,1807,1761540,,,,,,,,,
,Canada,17-11-2021,2626,1764166,,,,,,,,,
,Canada,18-11-2021,2765,1766931,,,,,,,,,
,Canada,19-11-2021,2887,1769818,,,,,,,,,
,Canada,20-11-2021,1281,1771099,,,,,,,,,
,Canada,21-11-2021,1059,1772158,,,,,,,,,
,Canada,22-11-2021,5179,1777337,,,,,,,,,
,Canada,23-11-2021,2208,1779545,,,,,,,,,
,Canada,24-11-2021,2751,1782296,,,,,,,,,
,Canada,25-11-2021,4229,1786525,,,,,,,,,
,Canada,26-11-2021,3037,1789562,,,,,,,,,
,Canada,27-11-2021,1528,1791090,,,,,,,,,
,Canada,28-11-2021,1179,1792269,,,,,,,,,
,Canada,29-11-2021,5145,1797414,,,,,,,,,
,Canada,30-11-2021,2363,1799777,78743,,,,,,,,
,Canada,1/12/21,3286,1803063,,,,,,,,,
,Canada,2/12/21,,,,,,,,,,,
